label,content
0,con chào mọi người ạ con 16 con muốn học nghề nhưng giời con không bt nghề gì ạ mong mọi người tư vấn cho con mới ạ
0,em đang có ý định học truyền thông đa phương tiện thì nên học trường nào ạ
1,xin chào mọi người anh chị nào học công nghệ thông tin hay về kỹ thuật phần mềm cho em xin chút review đi ạ em cảm ơn
1,mọi người cho hỏi ngành truyền thông đa phương tiện của thăng long và công nghệ đa phương tiện của bưu chính có khác nhau nhiều không ạ
1,em tính học trường cao đẳng ngành tiếng nhật các a chị cho em chút nhận xét về ngành này với
1,học cơ khí nên chọn đại học hay cao đẳng z trường nào đào tạo ok ngành này z cho em xin ít thông tin
1,em năm nay lên 12 đang phân vân giữa ngành maketing và logistics em học có ổn không và dễ kiếm việc làm không ạ
0,em đã chọn ra được ngành nghề quản trị kinh doanh ngân hàng marketing anh chị review giúp em với ạ
1,em đang quan tâm đến ngành marketing anh chị review giúp em với ạ
1,anh chị cho em xin ít review về các trường đào tạo marketing ở miền bắc với ạ
1,em theo ngành marketing thì có ổn không ạ
1,mọi ng ơi cho em xin review về đại học gia định với ạ em thấy trường khá mới cho mình xin reivew về chất lượng đào tạo của trường với ạ với trường không quá hot thì bằng cấp có bị hạn chế gì so với các bạn trường khác không ạ
1,cho em xin ý kiến về ngành marketing đi ạ
1,em đang có ý định học cđ tiếng hàn thương mại anh chị cho em xin ý kiến về ngành này ạ
1,các anh chị đi trước có thể tư vấn giúp em khi trường đại học khoa học xã hội và nhân văn tphồ chí minh ngành văn học và ngôn ngữ của trường em muốn biết thêm nhiều hơn về ngành này và liệu sau này ra trường em có thể xin việc làm ở đâu được ạ
1,anh chị nào đang học quản trị khách sạn ở ueh review về ngành và chương trình học ở trường giúp em với ạ
1,hutech với kinh công mọi người cho em xin ít review với ạ em muốn học công nghệ thông tin thì học trường nào hơn ạ
1,em đang định hướng đi ngành du lịch mà hiện nay tình trạng covid đang diễn biến phức tạp thì có nên theo đuổi tiếp ngành ấy không ạ cho em xin chút ý kiến em cảm ơn
1,em sinh năm 2004 đang có định hướng ở ngành quản lí nhà nước và quản trị kinh doanh ạ mong anh chị đi trước có kinh nghiệm tư vấn và chỉ dẫn cho em với ạ em chân thành cảm ơn
0,cần anh chị tư vấn cho em với ạ em 2003 đang theo khối d em muốn học marketing thì nên học trường nào tại hn ạ
1,mọi người ơi cho em hỏi em học kém tiếng anh mà muốn học tiếng hàn thì liệu có ổn không ạ
0,các anh chị cho em hỏi chút ạ học quản trị khách sạn ở miền bắc thì trường nào tốt và được đi thực hành nhiều ạ
1,dạ em chào mọi người em 2004 em đang chuẩn bị hướng nghiệp cho bản thân em định theo marketing hoặc quản trị kinh doanh ai từng học qua những ngành này rồi thì có thể tư vấn cho em được không ai em xin chân thành cảm ơn
0,em chào mọi người em năm nay lên lớp 12 nhưng bản thân em vẫn chưa tìm ra được ngành nghề yêu thích của mình em là một người hướng nội giao tiếp kém thực sự ít chủ động với người lạ lắm em trầm tính ít nói em cũng muốn thay đổi bản thân để dễ dàng chọn ngành nghề hơn nhưng thực sự rất khó đối với em vậy cho em xin ý kiến về các ngành nghề hợp với em ạ em theo ban d em có ý định học kế toán và  ngôn ngữ a toán anh em đều học mức khá thôi nhưng điểm trên lớp vẫn tr
0,em 2003 ạ em muốn chọn khối d1 nhưng toán văn thì trung bình khá còn tiếng anh thì biết gần hết mấy cái cơ bản và một ít nang cao vậy em vào ngành  ngôn ngữ anh có hợp lí không ạ mong mọi ngườig tư vấn cho em ạ
0,cho em hỏi là xét học bạ đậu trường yêu cầu nộp bản sao giấy chứng nhận tốt nghiệp vậy khi mình nộp rồi thì nếu thi xét đại học đậu được nv nào đó mình bỏ trường xét học bạ được không ạ hay là đã nộp rồi là bắt buộc học ạ
1,chào anh chị em 17t em đang phân vân không biết nên chọn học quản trị khách sạn marketing hay hàn quốc học đây ạ 3 ngành em đều thích
1,mọi người ai học ngành thương mại điện tử rồi cho em xin tí review ạ
0,anh chị nào đang học ở đại học ktcn cần thơ hay biết nhiều về trường cho em hỏi xác nhận thủ tục sau sơ tuyển lại phải đóng học phí trước ạ
0,e rất cần lắm 1 anh chị giúp tư vấn nghề nghiệp cho một đứa thiếu định hướng tương lai như em ạ em cám ơn
1,anh chị có thể review một chút về cơ hội việc làm của ngành logistic được không ạ
0,e muốn học quản trị nhân lực thì nên học trường nào ạ mức học của em ở mức khá
1,mọi người ai học ngành logistics và quản lý chuỗi cung ứng rồi cho em xin ít reviem ạ em cảm ơn nhiều ạ
0,cho em hỏi học cao đẳng y dược pasteur ngành điều dưỡng có ổn không ạ sau này liên thông lên đại học có dễ vào làm việc ở các bệnh viện không ạ em không học trường tư vì học phí khá cao ạ
0,cho em hỏi em muốn học điều dưỡng em muốn học ở đồng bằng sông cửu long em nên chọn trường nào ạ
1,có nên học việt nam học chuyên ngành văn hoá du lịch chất lượng cao không ạ
0,mọi người giúp em chọn ngành có cơ hội việc làm cao thu nhập ổn với ạ em xin cám ơn
1,mọi người cho em hỏi học địa lý học bên địa lý du lịch thì ra làm gì ạ
1,em muốn thi đại học kinh tế quốc dân với tài chính ngân hàng em đang mung lung không biết nên chọn ngành nào mọi người giúp em với ạ huhu
0,làm bếp trưởng điều hành thì nên học ngành và đại học nào ạ em ở miền nam mong được nhận hồi đáp của mọi người em cảm ơn ạ
0,hội thảo trực tuyến trò truyện cùng chuyên gia cơ hội và thách thức của sinh viên ngành quản trị khách sạn
1,anh chị nào học qua cơ khí rồi cho em ý kiến với kinh nghiệm nữa
0,mọi người cho mình hỏi là công việc như trong clip thì cần học ngành gì ạ
1,dạ em đang phân vân giữa việc lựa chọn ngành ngôn ngữ anh và ngôn ngữ pháp ạ
1,anh chị cho em hỏi là học ngôn ngữ anh ở đại học công ngiệp tphồ chí minh có ổn không ạ
0,anh chị cho em hỏi về ngành quản trị kinh doanh ạ ở tp hồ chí minh thì nên chọn trường nào ạ
1,mọi người có thể review giúp em ngành dệt may được không ạ
1,em 2003 có ý định theo học quản trị kinh doanh ạ anh chị tư vấn giúp em được không
0,theo mọi người thì giữa trường tốt và trường thường thì em nên học trường nào ạ
0,các bạn anh chị cho em hỏi nếu hồ sơ online yêu cầu ảnh chụp học bạ mà mình thay vào đó bằng bảng điểm ở cổng thông tin thì có được không ạ
1,cho em xin ít thông tin về ngành công tác xã hội ạ
1,em rất thích ngành nhật bản học và trung quốc học anh chị có thể tư vấn giúp em về cơ hội việc làm của hai ngành này được không
1,cho em hỏi với tình hình này 2022 học ngôn ngữ trung còn có tương lai không ạ
0,mọi người cho cháu xin ý kiến cháu nên học khối định hướng ngành nào để có thu nhập cao ạ
1,em sinh năm 2003 em đang phân vân giữa quản trị khách sạn với quản trị du lịch và lữ hành ạ mọi người cho em xin ít kinh nghiệm và review với ạ em cám ơn
1,mọi người ai học ngành kinh doanh quốc tế rồi cho em xin ít review ạ em cảm ơn nhiều ạ
0,anh chị học trước có thể nhận xét định hướng giúp em nên chọn chuyên ngành nào ra trường dễ xin việc được không ạ
0,em hiện đang quan tâm nhóm ngành báo chí truyền thông quan hệ hệ công chúng mọi người cho em hỏi trường nào ở tphồ chí minh đào tạo các ngành đó mà học phí ok không đắt lắm được không ạ
0,cho em hỏi đại học kinh tế thành phố hồ chí minh tuyển sinh bằng hình thức xét học bạ như thế nào ạ
1,các anh chị ơi cho em hỏi ngành kinh doanh quốc tế và ngành kinh tế đối ngoại khác nhau như thế nào ạ cảm ơn mọi người nhiều ạ
0,em sinh năm 2003 có ý định học marketing hoặc quản trị kinh doanh cho em hỏi ở hà nội có trường nào ổn ở gần trung tâm không ạ
0,em thi khối a1 nhưng bị mất gốc anh giờ em lớp 12 lấy lại có kịp không ạ
1,em dự định học cao đẳng lập trình máy tính hướng này có ổn không ạ
1,em chào anh chị ạ em nghe nói quản trị kinh doanh giờ thất nghiệp rất nhiều có đúng là như vậy không ạ em cảm ơn
0,cho em hỏi khi thi ngành kinh doanh quốc tế có được miễn thi môn tiếng anh vì em có bằng ielts 6 5
1,anh chị ơi cho em xin hỏi ngành quản trị kinh doanh và kinh doanh quốc tế nó khác những gì ạ
1,mọi nguoi co ai biết về hướng nghiệp á âu không ạ ai biết cho em xin ít chia sẻ đi ạ em cảm ơn ạ
0,mọi người cho em hỏi thi thpt quốc gia môn anh có kĩ năng nghe và nói không ạ
0,theo mọi người thì đâu sẽ là ngành dễ kiếm việc tự đi lên bằng thực lực và mức lương cao hơn ạ
1,anh chị ơi cho em hỏi giữa ngành du lịch với ngành quản trị du lịch lữ hành có điểm gì khác nhau ạ
0,anh chị cho em hỏi nên học ngành quản lí du lịch và lữ hành thì đi trường nào ổn mà tốt vậy
0,em chào anh chị em là một người thích kinh doanh buôn bán làm chủ và hướng ngoại thích học những môn tự nhiên cần tư duy logic thì em hợp với marketing hay quản trị kinh doanh vậy ạ em cảm ơn nhiều ạ
0,mình là 2002 không biết có ai quan tâm đến chương trình liên kết của những trường đại học không ạ nếu có comment cho mình với nha
0,em 2003 muốn học ngành marketing hoặc quan hệ công chúng truyền hông thì không biết nên học trường nào ở tphồ chí minh nổi bật ạ
1,em chào mọi người ạ hiện em đã chọn được mình học kinh tế và phân vân 3 ngành tài chính ngân hàng kế toán quản trị kinh doanh
0,các anh chị đi trước cho em hỏi với học makerting thì lương tầm bao nhiêu 1 thág vậy và ở hà nội thì nên vào trường nào ạ
1,anh chị nào đã từng hoặc đang học ngành công nghệ thông tin thì cho em xin ít review về ngành này với ạ em cảm ơn mọi người nhiều
1,anh chị cho em hỏi là học ngành quản trị kinh doanh ở đại học thủ dầu một có tốt không ạv
1,giữa ngành tài chính ngân hàng của đại học kinh tế tphồ chí minh ueh và ngành marketing của đại học tài chính marketing ufm thì mình nên học ở đâu ạ
0,anh chị khoá trước cho em hỏi với ạ nếu cùng 1 ngành học thì nên học đại học mở đại học nội vụ hay đại học công đoàn ạ
0,cho em hỏi trường nào xét học bạ ngôn ngữ anh ạ ở thành phố hồ chí minh càng tốt ạ
0,anh chị ơi em muốn hỏi về nguyện vọng trong kì thi thptqg nếu em thi xong biết điểm có được đổi thứ tự nguyện vọng lên không ạ
0,ở sài gòn nên chọn trường ngành nào dưới đây ạ
0,cho em hỏi là chọn chương trình đại trà tại vì học phí rẻ hơn hay còn lý do nào khác để chọn đại trà ạ
1,mọi người cho em hỏi là em muốn học kinh doanh xuất nhập khẩu và em có nên học cao đẳng không ạ
0,em muốn thi khối d4 của đại học hanu nhưng em đang thắc mắc hình thức thi tiếng trung như thế nào có anh chị nào đi trước giúp em giải đáp với ạ
0,em đã đăng kí 2 nguyện vọng ngành quản trị kinh doanh chuyên ngành marketing ở học viện ngân hàng hà nội ngành ngôn ngữ anh của trường đại học ngoại ngữ thái nguyên
1,em đang có dự định muốn vào ngành ngôn ngữ nhật trường đại học ngoại ngữ đhqghn anh chị có thể tư vấn giúp em về ngành đó không ạ
1,em có ý định thi khối a ngành ngôn ngữ anh mọi người thấy đại học ngoại thương ổn không ạ
1,em trai đang có ý định học cao đẳng an ninh mạng ispace nhưng mình không rành lắm về trường này mọi người cho mình xin tí review về trường này với ạ
1,cho em xin một vài review về đại học thăng long nói chung và ngành ngôn ngữ trung nói riêng nữa ạ cảm ơn mọi người nhiều
0,em thi vào ngành khác sau khi đỗ em chuyển sang ngành thiết kế nội thất thì có đổi sang không ạ
0,xin thông tin bạn nào có ý định đi học thể dục thể thao
1,chào mọi người em muốn thi ngành quản trị kinh doanh anh chị cho em xin chút ý kiến với ạ
1,nên học quản trị kinh doanh hay kinh doanh quốc tế ạ em thấy 2 ngành gần như nhau em cảm ơn
1,hiện tại em đang có định hướng học ngành tài chính ngân hàng tại học viện ngân hàng anh chị cho em hỏi là sau khi học xong thì phần trăm có việc làm cao hay không ạ
0,có trường nào đăng kí xét tuyển bằng hình thức trực tuyến không ạ
0,mọi người cho em hỏi học viện quân y lấy khoảng bao nhiêu điểm khối b ạ
0,anh chị cho em hỏi khối c00 thì học được ngành quản trị ở trường nào ạ
0,mọi người ơi cho em xin các trường có xét học bạ cho ngành quản trị kinh doanh tại hà nội với ạ em cảm ơn mọi người rất nhiều
0,có bao nhiêu trường công lập ở trên hà nội đào tạo ngành quản trụ kinh doanh mà lấy từ 15 18 điểm ạ có ai biết không cho em hỏi
0,mọi người ơi tôi học ban a mà lại muốn học các ngành liên quan đến truyền thông thì có ngành nào trường nào phù hợp không ạ tại vì tốt học dốt văn nên không theo ban d được các bác tư vấn giúp tôi với ạ
1,mọi người chi em xin review về ngành công nghệ chế tạo máy đc không ạ
1,chào anh chị cho em hỏi tài chính ngân hàng nên học văn lang hay đại học ngoại ngữ tin học tp hồ chí minh ạ em cảm ơn
1,em đang phân vân ngành công nghệ thông tin với ngành kế đồ hoạ ngành thiết kế đồ hoạ có nhất thiết mình phải vẽ thật đẹp không ạ mọi người tư vấn giúp em nên học theo ngành nào em cảm ơn mọi người nhiều ạ
1,em chào mọi người cho em hỏi nghề giáo viên có ổn không ạ
0,mọi người ơi cho em hỏi là học ngành luật kinh tế thì trường nào là ổn nhất về học phí chất lượng giảnh dạy chất lượng đầu ra ạ
1,học kỹ thuật phần mềm có ổn với nữ không ạ
1,em 2003 dự tính năm sau học kinh tế anh chi nào học ngành kinh tế cho em xin ít review với
0,anh chị cho em hỏi là ngành cơ khí kỹ thuật ô tô thì trường nào thích hợp và có hợp tác với các hãng xe ở việt nam ạ
0,cho em hỏi là có nhìu người nói học ngành công nghệ thông tin tiếp xúc nhìu với máy tính dễ bị cận có phải không ạ
1,mọi người tư vấn cho mình về ngành kỹ thuật điều khiển và tự động hóa đc không ạ
0,ai cho em hỏi muốn có 1 trang trại thì học trường nào học phí trường ra sao ạ
1,anh chị cho em hỏi là trường huflit đào tạo ngành ngôn ngữ ổn không ạ
0,mọi người nghĩ nên học ngôn ngữ trung quốc của đại học mở hay sư phạm hóa dạy hóa bằng tiếng anh của hnue ạ
0,chào mọi người ạ ở nha trang có trường đại học nào có ngành giao thông vận tải hoặc ngành luật hàng hải mọi người tư vấn giúp em với em cảm ơn nhiều ạ
1,cho em xin ít review ngành công nghệ thông tin trường hutech với ạ
0,mình có tài liêu về java php cho các bạn quan tâm về lập trình có ai cần không nhỉ
1,mọi người cho em ít review về ngành công nghệ thông tin được không ạ học những gì có khó không ạ
1,các bạn anh chị cho em hỏi học ngành thương mại quốc tế thì nên học chương trình liên kết quốc tế hay chỉ cần học hệ chính quy tại các đại học là được ạ
1,ngành công nghệ thông tin dễ xin việc hơn không ạ
0,mọi người ơi cho mình hỏi là mình muốn theo ngành quản trị khách sạn thì nên học cao đẳng trường nào ổn ở tphồ chí minh ạ
0,em đang có ý định học ngành ngôn ngữ trung quốc trường saigonact mà trong tình hình này không biết nó hợp lý không ạ mong anh chị giúp em tư vấn ạ
0,mình muốn học công nghệ ô tô thì học trường nào ở tphồ chí minh vậy mọi người
1,em thấy ngành quản trị khách sạn rất thú vị và cũng định chọn ngành này thì có nên không ạ
0,xin chào mọi người các anh chị đi trước cho em hỏi chút xíu ạ khối d nếu tầm 16 17đ thì ngành tài chính ngân hàng và quản trị khách sạn nên học trường nào ở ngoài bắc ạ em xin cảm ơn ạ
0,em chào mọi người ạ em 2002 nhưng mà vẫn chưa biết nên học ngành nào ạ
0,em vẫn chưa biết phải chọn trường gì ạ anh chị có biết trường nào có xét học bạ có thể giới thiệu giúp em được không ạ
0,chào anh chị anh chị cho em hỏi em định học bên du lịch khách sạn thì học trường nào vậy ạ
0,em đang tìm hiểu về trường và ngành mà còn hơi mông lung nên nhờ các anh chị giúp em với ạ
0,gần đến ngày thi rồi mà em vẫn rất mông lung trong việc chọn ngành chọn trường không biết nên học ngành gì cho đúng các bạn anh chị trong nhóm có thể tư vấn cho em với ạ
0,mọi người ơi cho em hỏi điểm em như này thì vô được trường nào ạ
1,mọi người cho em hỏi là quản trị khách sạn thuộc ngành quản trị kinh doanh hay ngành du lịch lữ hành ạ
0,quản trị kinh doanh và quản trị khách sạn thì ngành nào sau này đi làm dễ thăng tiến hơn ạ
0,các anh chị cho em xin ý kiến về cái trường đại học với ạ với điểm từ 20 23 ạ
1,mọi người có ai học ngành quản trị khách sạn có thể cho em xin review với ạ
1,chào mọi người anh chị học rồi cho em hỏi ngành quản trị du lịch với quản trị khách sạn nhà hàng cái nào ổn hơn về cơ hội việc làm ạ
1,em định đăng kí vào ngành quản trị khách sạn của trường đại học công nghiệp mà mọi người review chất lượng đào tạo giúp em với
1,mọi người cho em hỏi muốn học nhà hàng dịch vụ thì thi quản trị du lịch lữ hành hay quản trị khách sạn ạ
0,em nên thi trường với mức điểm 18 20đ của khoa học xã hội ạ mong anh chị tư vấn giúp em ạ
1,dạ cho em hỏi giữa quản trị khách sạn và công nghệ thực phẩm thì ngành nào có cơ hội việc làm cao hơn ạ
1,em đang phân vân giữa ngân hàng và quản trị khách sạn anh chị học rồi cho em chút lời khuyên với ạ
0,xin thông tin về học phí của các trường tuyển sinh ngành quản trị khách sạn khu vực miền nam em cảm ơn ạ
1,anh chị có thể cho em xin ý kiến về ngành quản trị khách sạn với ạ
1,em chào mọi người ạ mọi người có thể cho em xíu review về ngành quản trị khách sạn không ạ
1,ở đây có ai học ngành điều dưỡng với quản trị khách sạn rồi cho em xin ít review với ạ
1,có anh chị nào học đại học mở không ạ em muốn anh chị tư vấn cho em về nghành quản trị khách sạn ạ
0,cho em hỏi em không giỏi tiếng anh thì có học dc ngành quản trị khách sạn không ạ
0,chào mọi người mọi người có thể tư vấn giúp em những trường có khoa quản trị khách sạn 21 22đ ở miền bắc không ạ
0,điểm em như vậy xét quản trị kinh doanh hay quản trị khách sạn được không ạ
1,mọi người cho em hỏi học công nghệ thông tin ở trường đại học công nghiệp tphồ chí minh có ổn không
0,anh chị cho em hỏi hôm nọ in nguyện vọng ra giấy nhưng em không có nv mặc dù đăng ký 3 cái lận cái này có ai gặp chưa ạ
0,em năm nay đang học 12 và chuẩn bị thi nhưng em vẫn chưa xác định được ngành em thích mọi người tư vấn cho em một ngành phù hợp với ạ
0,em không tìm được trường phù hợp anh chị nào hiểu biết về trường đại học ở hồ chí minh tư vấn em với ạ
1,mọi người anh chị cho em hỏi có nên học ngành công nghệ thông tin không ạ em cảm ơn mong mọi người tư vấn giúp em
1,mọi người ơi cho em hỏi ai đang học công nghệ thông tin ở trường đại học sư phạm tphồ chí minh cho mình xin 1 ít review với
0,em chào anh chị em định hướng chọn ngành công nghệ thông tin không biết nên chọn trường nào xin cho em chút ý kiến
1,em đang phân vân giữa 3 ngành ngôn ngữ anh quản trị nhân lực và logistic mọi người cho em xin ý kiến về những vấn đề sau với ạ thu nhập thực tế chương trình học 
1,cho em hỏi ngành đông phương học ra trường kiếm việc làm dễ không ạ
0,cho em hỏi đến tầm bao lâu là chốt ạ thường thì đến bao giờ các trường mới chốt học sinh thông báo trúng tuyển ạ
0,chào mọi người em là nữ ạ sn 2003 mọi người cho em hỏi học logistics mức giá tầm 18 triệu ạ
1,dạ em đang muốn thi vào ngành tài chính ngân hàng thì giữa trường ueh và uel thì trường nào được hơn ạ
0,mọi người cho em xin ý kiến về trường cao đẳng y dược và cao đẳng du lịch với ạ nên học trường nào hơn ạ
0,anh chị có thể tư vấn giúp em có những ngành nào không ạ em cám ơn
1,cho em xin ít review ngành ngôn ngữ anh trường đại học thương mại hà nội với ạ
1,mọi người tư vấn giúp em với ạ em muốn học nghề hàn liệu có nên học không ạ
1,dạ hiện em đang tìm hiểu ngành kĩ thuật hoá học ở đây có anh chị nào đã ra trường ngành này có thể cho em biết là ngành này sẽ làm những việc gì không ạ
0,cho em xin học phí và tên các trg đào tạo ngành công nghệ tt với ạ với chất lượng đầu ra tốt với ạ
1,anh chị bạn bè cho em xin review ngành công nghệ thông tin ở trường sư phạm kỹ thuật và khoa học tự nhiên với ạ
0,anh chị nào học công nghệ thông tin có thể tư vấn giúp em không em ở miền nam ạ
0,chào mọi người ạ em muốn học công nghệ thông tin ở hồ chí minh thì nên chọn trường nào hợp lí ạ
0,mọi người có thể tư vấn cho em các ngành khối a được không ạ
1,học ngành công nghệ thông tin mà học ở bách khoa có tốt ạ
0,chọn nghề nào để phù hợp với tính cách của em ạ
0,em có định hướng thi ngành kế toán nhưng chưa biết chọn trường nào để học chuyên ngành này ạ
0,em tính đi theo ngành công nghệ thông tin học ở hồ chí minh mọi người thấy em nên đi theo trường nào thì tốt
0,mọi người các anh chị ai làm trong ngành it cho em hỏi một vài câu hỏi được không
0,mọi người ơi cho em hỏi ở hà nội có trường công nào ngành công nghệ đa phương tiện lấy điểm thấp không ạ
1,anh chị góp ý dùm em nên học kế toán hay không ạ
0,mọi người cho em hỏi học bên toán hóa anh ở đại học ngoại thương thì có ngành kinh tế đối ngoại không ạ
1,mọi người có thể review cho em về ngành logistics và quản lí chuỗi cung ứng được không ạ
1,cho em hỏi sự khác biệt giữa chương trình đào tạo của 2 ngành này với ạ em cảm ơn
1,mọi người ơi cho em hỏi là giữa ngôn ngữ nhật ngôn ngữ hàn và ngôn ngữ trung thì nên chọn cái nào vậy ạ
1,dạ mọi người ơi giữa đại học ngân hàng ngành tài chính ngân hàng và đại học quốc tế thì em đang phân vân không biết chọn ngành nào ấy ạ
1,các anh chị tư vấn cho em ngành truyền thông với cả ngành quan hệ công chúng thì sẽ học về những cái gì
1,mọi người review cho em ngành công nghệ thông tin với ạ và khoa học máy tính và kỹ thuật máy tính là gì mình học về gì vậy mọi người
1,anh chị ơi cho em hỏi là nên học kinh doanh quốc tế ở tôn đức thắng hay ở buh vậy ạ với 2 chuyên ngành này khác nhau nhiều không ạ 
1,cho em hỏi là học quản trị kinh doanh học trường công nghiệp tp hồ chí minh có được không ạ
0,cho em hỏi ở đây có anh chị nào học ngôn ngữ và đồng thời học thêm nghành kinh tế không ạ
0,mọi người cho em hỏi học marketing có học nhiều về tiếng anh và đòi hỏi phải giỏi tiếng anh không ạ
1,cho em hỏi là học ngôn ngữ trung thì ra làm marketing đc không ạ
0,chào mọi người 1 em muốn thi ngành quản trị kinh doanh nên có thể cho em xin một số trường đào tạo tốt ở tp hồ chí minh không ạ 
1,em dự tính sẽ học ngành logistics supply chain management anh chị nào có kinh nghiệm hoặc hiểu biết về ngành trên có thể tư vấn cho em với ạ 
1,em muốn tìm hiểu về khoa học máy tính ạ em hi vọng các anh chị tư vấn giúp em ạ
1,em lựa chọn ngành thương mại điện tử có phù hợp không ạ cảm ơn anh chị nhiều ạ
1,em đang phân vân giữa quản trị kinh doanh và marketing anh chị có kinh nghiệm cho em xin tư vấn với ạ
0,học ngành du lịch thì kể cả đại học hay cao đẳng có phải học toán không các anh chị 
1,cho em hỏi kinh tế đối ngoại và quan hệ quốc tế giống và khác nhau như thế nào ạ
1,cho em hỏi ở đây có anh chị nào học ngôn ngữ không ạ cho em định hướng và hướng đi em nên làm gì từ bây giờ
1,marketing chất lượng cao đào tạo tốt không ạ
0,cho em xin review về học phí marketing chất lượng cao ufm với ạ
1,cho em xin review chất lượng đào tạo marketing chất lượng cao ufm với ạ
1,mọi người cho em nhận xét về ngành ngoại ngữ ạ
1,mọi người cho em hỏi học quản trị kinh doanh quan hệ công chúng có ổn không ạ
1,em đang phân vân giữa 2 ngành quản lý nhà nước và dược ạ
1,mọi người ơi ngôn ngữ anh ngôn ngữ hàn ngôn ngữ trung cái nào cũng thích hết thì nên chọn cái nào ạ
1,em đang muốn xin ít review về ngành truyền thông đa phương tiện em cảm ơn
1,em có định hướng học logicstic ở trường đại học tài chính maketing có anh chị nào là sinh viên của trường cùng ngành tư vấn cho em 1 tí được không ạ em cảm ơn nhiều
1,học ngôn ngữ anh ở đại học bà rịa vũng tàu ổn không ạ em xin ý kiến mọi người ạ
0,mọi người cho em muốn đăng kí đại học hệ vừa học vừa làm cụ thể là ngành tài chính ngân hàng ở buh thì em cần điều kiện gì và cách thức đăng kí hay xét tuyển như thế nào ạ
0,cho em hỏi marketing học uel có xét học bạ không ạ
